iter	Passed	Remaining
262	330	925
263	331	924
264	332	923
265	334	922
266	335	921
267	336	919
268	338	918
269	339	916
270	340	915
271	341	914
272	343	913
273	344	912
274	345	911
275	347	910
276	348	909
277	349	907
278	350	906
279	351	904
280	353	903
281	354	902
282	355	900
283	356	899
284	357	897
285	359	898
286	361	897
287	362	896
288	364	895
289	365	894
290	366	893
291	367	892
292	369	890
293	370	889
294	371	888
295	372	887
296	374	886
297	376	886
298	377	885
299	379	884
300	380	883
301	381	882
302	383	881
303	384	880
304	385	878
305	386	877
306	388	876
307	390	876
308	391	876
309	393	874
310	394	873
311	395	871
312	397	871
313	398	870
314	399	869
315	400	867
316	402	866
317	403	866
318	405	865
319	407	865
320	408	864
321	409	862
322	410	861
323	412	859
324	413	858
325	414	857
326	416	856
327	417	854
328	418	853
329	419	852
330	421	852
331	423	851
332	424	850
333	425	848
334	426	847
335	427	845
336	429	844
337	430	842
338	431	841
339	432	839
340	434	838
341	435	838
342	436	836
343	438	835
344	439	833
345	440	832
346	441	831
347	442	829
348	444	828
349	445	827
350	446	825
351	447	824
352	450	825
353	451	824
354	453	823
355	454	821
356	455	820
357	457	819
358	458	818
359	459	817
360	461	816
361	462	814
362	463	813
363	465	812
364	466	811
365	467	810
366	468	808
367	470	807
368	471	806
369	472	804
370	473	803
371	475	802
372	476	800
373	477	799
374	478	797
375	480	797
376	481	795
377	482	794
378	483	792
379	485	791
380	486	790
381	487	789
382	489	788
383	490	786
384	491	785
385	492	783
386	494	782
387	495	781
388	496	780
389	497	778
390	499	777
391	500	776
392	501	774
393	503	773
394	504	772
395	505	770
396	506	769
397	507	768
398	509	767
399	510	766
400	511	764
401	513	763
402	514	761
403	515	760
404	516	759
405	517	757
406	519	756
407	520	754
408	521	753
409	522	752
410	523	750
411	525	749
412	526	748
413	527	747
414	529	745
415	530	744
416	531	743
417	533	742
418	534	740
419	535	739
420	536	737
421	537	736
422	539	735
423	540	734
424	541	732
425	542	731
426	543	729
427	545	728
428	546	727
429	547	725
430	548	724
431	549	723
432	551	721
433	552	720
434	553	719
435	555	717
436	556	716
437	557	715
438	558	714
439	560	712
440	561	711
441	562	710
442	563	708
443	564	707
444	566	705
445	567	704
446	568	703
447	569	701
448	570	700
449	572	699
450	573	697
451	574	696
452	575	695
453	576	693
454	577	692
455	579	690
456	580	690
457	582	688
458	583	687
459	584	686
460	586	685
461	587	684
462	588	682
463	590	681
464	591	680
465	592	678
466	593	677
467	594	675
468	595	674
469	597	673
470	598	671
471	599	670
472	601	670
473	602	668
474	604	667
475	605	666
476	606	664
477	607	663
478	608	662
479	610	660
480	611	659
481	612	658
482	614	657
483	615	655
484	616	654
485	617	653
486	619	652
487	620	650
488	621	649
489	622	648
490	624	646
491	625	645
492	626	644
493	628	643
494	629	641
495	631	641
496	632	640
497	634	639
498	635	637
499	636	636
500	637	635
501	639	634
502	640	632
503	641	631
504	643	630
505	644	629
506	645	627
507	647	626
508	648	625
509	649	624
510	650	622
511	652	621
512	653	620
513	654	619
514	656	617
515	657	616
516	658	615
517	659	613
518	661	612
519	662	611
520	663	610
521	664	608
522	666	607
523	667	606
524	668	604
525	669	603
526	671	602
527	672	600
528	673	599
529	675	599
530	677	598
531	679	597
532	680	596
533	682	595
534	683	594
535	684	592
536	686	591
537	687	590
538	688	588
539	690	587
540	704	597
541	705	596
542	707	595
543	708	594
544	710	592
545	711	591
546	712	589
547	713	588
548	714	586
549	715	585
550	716	584
551	717	582
552	718	581
553	720	579
554	721	578
555	722	576
556	724	575
557	725	574
558	726	573
559	727	571
560	728	570
561	729	568
562	730	567
563	731	565
564	732	564
565	734	562
566	735	561
567	736	560
568	737	558
569	739	557
570	740	556
571	741	555
572	742	553
573	744	552
574	745	550
575	746	549
576	747	547
577	748	546
578	749	544
579	750	543
580	751	542
581	753	541
582	754	539
583	755	538
584	756	536
585	757	535
586	759	534
587	760	532
588	761	531
589	762	530
590	764	528
591	765	527
592	766	526
593	768	525
594	770	524
595	771	523
596	772	521
597	774	520
598	775	519
599	776	517
600	777	516
601	779	515
602	780	513
603	781	512
604	783	511
605	785	510
606	786	509
607	787	507
608	788	506
609	790	505
610	791	503
611	792	502
612	793	501
613	795	499
614	796	498
615	797	497
616	799	496
617	800	495
618	802	493
619	803	492
620	804	491
621	806	489
622	807	488
623	808	487
624	809	485
625	811	484
626	813	483
627	815	482
628	816	481
629	817	480
630	818	478
631	819	477
632	821	476
633	822	474
634	823	473
635	824	471
636	826	470
637	827	469
638	829	468
639	830	467
640	831	465
641	833	464
642	834	463
643	835	462
644	837	460
645	838	459
646	839	458
647	840	456
648	842	455
649	844	454
650	845	453
651	846	451
652	848	450
653	849	449
654	850	448
655	851	446
656	853	445
657	854	443
658	855	442
659	857	441
660	858	440
661	860	439
662	862	438
663	863	437
664	864	435
665	866	434
666	867	433
667	868	431
668	870	430
669	871	429
670	873	428
671	874	427
672	876	425
673	877	424
674	878	423
675	879	421
676	881	420
677	882	419
678	883	417
679	884	416
680	886	415
681	887	413
682	889	412
683	890	411
684	891	410
685	893	408
686	894	407
687	895	406
688	896	404
689	898	403
690	899	402
691	900	400
692	901	399
693	903	398
694	905	397
695	906	395
696	907	394
697	908	393
698	909	391
699	911	390
700	912	389
701	913	387
702	914	386
703	915	385
704	917	383
705	919	382
706	920	381
707	922	380
708	923	378
709	924	377
710	925	376
711	926	374
712	928	373
713	929	372
714	931	371
715	932	369
716	934	368
717	936	367
718	937	366
719	938	364
720	939	363
721	940	362
722	941	360
723	943	359
724	944	358
725	945	356
726	946	355
727	948	354
728	950	353
729	951	352
730	953	350
731	954	349
732	955	348
733	957	346
734	958	345
735	959	344
736	960	342
737	961	341
738	963	340
739	965	339
740	966	337
741	967	336
742	968	335
743	970	333
744	971	332
745	972	331
746	973	329
747	974	328
748	975	327
749	977	325
750	978	324
751	980	323
752	981	322
753	982	320
754	984	319
755	985	318
756	986	316
757	988	315
758	989	314
759	990	312
760	991	311
761	993	310
762	995	309
763	996	307
764	998	306
765	999	305
766	1000	303
767	1001	302
768	1002	301
769	1004	299
770	1005	298
771	1006	297
772	1007	296
773	1009	294
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1015	288
779	1017	286
780	1018	285
781	1019	284
782	1020	282
783	1022	281
784	1023	280
785	1025	279
786	1026	277
787	1027	276
788	1029	275
789	1030	273
790	1031	272
791	1032	271
792	1034	269
793	1035	268
794	1036	267
795	1039	266
796	1040	265
797	1042	263
798	1044	262
799	1045	261
800	1047	260
801	1048	258
802	1053	258
803	1055	257
804	1057	256
805	1059	254
806	1060	253
807	1062	252
808	1064	251
809	1066	250
810	1067	248
811	1069	247
812	1071	246
813	1073	245
814	1075	244
815	1076	242
816	1078	241
817	1079	240
818	1081	239
819	1084	237
820	1085	236
821	1087	235
822	1089	234
823	1091	233
824	1092	231
825	1093	230
826	1095	229
827	1096	227
828	1099	226
829	1100	225
830	1102	224
831	1104	222
832	1105	221
833	1108	220
834	1109	219
835	1111	217
836	1112	216
837	1114	215
838	1115	214
839	1117	212
840	1118	211
841	1119	210
842	1121	208
843	1122	207
844	1123	206
845	1124	204
846	1126	203
847	1127	202
848	1128	200
849	1130	199
850	1131	198
851	1133	196
852	1134	195
853	1135	194
854	1137	192
855	1138	191
856	1139	190
857	1141	188
858	1142	187
859	1144	186
860	1145	184
861	1146	183
862	1148	182
863	1149	180
864	1150	179
865	1152	178
866	1153	176
867	1154	175
868	1156	174
869	1157	172
870	1159	171
871	1160	170
872	1162	169
873	1163	167
874	1165	166
875	1166	165
876	1168	163
877	1169	162
878	1170	161
879	1172	159
880	1173	158
881	1175	157
882	1176	155
883	1177	154
884	1178	153
885	1180	151
886	1181	150
887	1182	149
888	1183	147
889	1185	146
890	1186	145
891	1188	143
892	1189	142
893	1191	141
894	1192	139
895	1193	138
896	1195	137
897	1196	135
898	1197	134
899	1199	133
900	1200	131
901	1202	130
902	1204	129
903	1205	128
904	1207	126
905	1209	125
906	1210	124
907	1211	122
908	1212	121
909	1214	120
910	1215	118
911	1217	117
912	1219	116
913	1220	114
914	1221	113
915	1223	112
916	1224	110
917	1226	109
918	1227	108
919	1228	106
920	1230	105
921	1232	104
922	1234	102
923	1235	101
924	1237	100
925	1238	98
926	1240	97
927	1241	96
928	1242	94
929	1244	93
930	1245	92
931	1247	91
932	1249	89
933	1250	88
934	1252	87
935	1253	85
936	1255	84
937	1256	83
938	1258	81
939	1259	80
940	1261	79
941	1262	77
942	1264	76
943	1265	75
944	1266	73
945	1268	72
946	1269	71
947	1271	69
948	1272	68
949	1274	67
950	1275	65
951	1277	64
952	1278	63
953	1280	61
954	1281	60
955	1283	59
956	1284	57
957	1286	56
958	1287	55
959	1289	53
960	1290	52
961	1292	51
962	1293	49
963	1295	48
964	1296	47
965	1297	45
966	1299	44
967	1300	42
968	1301	41
969	1303	40
970	1304	38
971	1306	37
972	1316	36
973	1317	35
974	1318	33
975	1320	32
976	1321	31
977	1323	29
978	1325	28
979	1326	27
980	1327	25
981	1329	24
982	1330	23
983	1331	21
984	1333	20
985	1334	18
986	1335	17
987	1338	16
988	1340	14
989	1341	13
990	1343	12
991	1344	10
992	1345	9
993	1347	8
994	1348	6
995	1349	5
996	1351	4
997	1352	2
998	1354	1
999	1355	0
